序号,弹幕内容
685,异格凯尔希，再骗我们氪金一次
686,超大杯
687,这次活动信仰崩塌这一块应该没人比得过奥伦（
688,我只知道她下次没衣服穿了（doge
689,说牢博没有脑子的你同时也在否定人类
690,主要是炎国剧情还有凯尔希呢
691,近卫凯尔希，启动
692,要打科技战，争夺原石权限
693,牢普视角：家里的猫趁着老伴失忆把人拐了不说，还要你亖
694,我勒个软体不稳定
695,的确，现在罗德岛和南极迦勒底类似，普瑞赛斯难道还能比奥尔特uo可怕吗
696,请务必实装
697,完全没悲伤
698,凯尔希：孩子们别怕看我杀出冥界
699,母女情
700,还有一个石棺里面有梅菲斯特，也许会变成异格boss
701,我觉得凯尔希把要它wanbjO
702,wdj
